"","MSSubClass","MSZoning","Alley","Neighborhood","BldgType","OverallQual","Foundation","BsmtQual","BsmtFinType1","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageFinish","GarageCars","PavedDrive","SaleCondition","SalePrice"
"359",80,"RL","0","ClearCr","1Fam",5,"CBlock","4","2","Gas","Ex","Y","0",1352,0,1352,1,"Gd",6,"0","3",1,"Y","Abnorml",130000
"360",60,"RL","0","NoRidge","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1086,838,1924,2,"Gd",7,"1","2",2,"Y","Normal",280000
"361",85,"RL","0","Mitchel","1Fam",6,"CBlock","3","3","Gas","Ex","Y","SBrkr",912,0,912,1,"TA",5,"1","2",2,"Y","Normal",156000
"362",50,"RL","2","BrkSide","1Fam",5,"CBlock","4","5","Gas","Gd","Y","SBrkr",988,517,1505,1,"TA",8,"0","3",1,"N","Normal",145000
"363",85,"RL","0","Edwards","1Fam",7,"Slab","0","0","Gas","Ex","Y","SBrkr",495,1427,1922,3,"Gd",7,"1","2",2,"Y","Normal",198500
"364",160,"RM","0","BrDale","Twnhs",6,"CBlock","4","1","Gas","Gd","Y","SBrkr",483,504,987,1,"Gd",5,"0","3",1,"Y","Normal",118000
"365",60,"RL","0","NWAmes","1Fam",6,"PConc","3","3","Gas","TA","Y","SBrkr",790,784,1574,2,"TA",6,"1","1",2,"Y","Normal",190000
"366",70,"RM","0","IDOTRR","1Fam",5,"CBlock","4","5","Gas","Gd","Y","0",672,672,1344,1,"TA",6,"0","3",1,"Y","Normal",147000
"367",20,"RL","0","NAmes","1Fam",6,"CBlock","3","2","Gas","Gd","Y","SBrkr",1394,0,1394,1,"TA",6,"1","2",2,"Y","Normal",159000
"368",80,"RL","0","NAmes","1Fam",6,"CBlock","3","3","Gas","Gd","Y","SBrkr",1431,0,1431,1,"TA",6,"1","2",1,"Y","Normal",165000
"369",20,"RL","0","NAmes","1Fam",5,"PConc","4","4","Gas","Gd","Y","SBrkr",1268,0,1268,1,"TA",7,"1","1",1,"Y","Normal",132000
"370",20,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","Ex","Y","SBrkr",1287,0,1287,1,"Gd",7,"1","1",2,"Y","Normal",162000
"371",60,"RL","0","Gilbert","1Fam",6,"PConc","3","6","Gas","Ex","Y","SBrkr",953,711,1664,2,"TA",7,"1","2",2,"Y","Normal",172400
"372",50,"RL","0","ClearCr","1Fam",4,"CBlock","0","0","Gas","TA","Y","SBrkr",1120,468,1588,2,"TA",7,"1","1",2,"N","Normal",134432
"373",120,"RL","0","SawyerW","TwnhsE",6,"CBlock","3","1","Gas","TA","Y","SBrkr",752,0,752,1,"TA",4,"0","3",1,"Y","Normal",125000
"374",20,"RL","0","NAmes","1Fam",5,"PConc","4","2","Gas","TA","Y","SBrkr",1319,0,1319,1,"TA",5,"0","3",1,"Y","Normal",123000
"375",60,"RL","0","CollgCr","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",847,1081,1928,2,"Gd",8,"1","1",2,"Y","Normal",219500
"376",30,"RL","0","Edwards","1Fam",1,"BrkTil","2","2","Gas","Gd","N","0",904,0,904,0,"Fa",4,"0","0",0,"Y","Normal",61000
"377",85,"RL","0","CollgCr","1Fam",5,"PConc","3","3","Gas","Ex","Y","SBrkr",914,0,914,1,"TA",5,"0","3",2,"Y","Normal",148000
"378",60,"FV","0","Somerst","1Fam",8,"PConc","3","6","Gas","Ex","Y","SBrkr",1580,886,2466,3,"Gd",8,"1","2",2,"Y","Normal",340000
"379",20,"RL","0","StoneBr","1Fam",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1856,0,1856,1,"Ex",8,"1","1",3,"Y","Partial",394432
"380",60,"RL","0","Gilbert","1Fam",6,"PConc","3","6","Gas","Ex","Y","SBrkr",1007,793,1800,2,"TA",7,"1","1",2,"Y","Normal",179000
"381",50,"RL","2","SWISU","1Fam",5,"BrkTil","4","4","Gas","TA","Y","SBrkr",1026,665,1691,2,"Gd",6,"1","3",1,"Y","Normal",127000
"382",20,"FV","2","Somerst","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1301,0,1301,2,"Gd",5,"1","2",2,"Y","Partial",187750
"383",60,"RL","0","CollgCr","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",939,858,1797,2,"Gd",8,"0","2",2,"Y","Normal",213500
"384",45,"RH","0","SawyerW","1Fam",6,"BrkTil","2","6","Gas","TA","N","0",784,0,784,1,"TA",5,"0","3",2,"N","Normal",76000
"385",60,"RL","0","ClearCr","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",1079,874,1953,2,"Gd",9,"1","1",2,"Y","Normal",240000
"386",120,"RL","0","Blmngtn","TwnhsE",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1269,0,1269,2,"Gd",6,"1","1",2,"Y","Normal",192000
"387",50,"RL","0","Edwards","1Fam",5,"PConc","4","6","Gas","TA","Y","SBrkr",658,526,1184,1,"TA",8,"0","0",0,"N","AdjLand",81000
"388",80,"RL","0","Edwards","1Fam",6,"CBlock","4","1","Gas","Ex","Y","SBrkr",1125,0,1125,1,"TA",6,"1","3",1,"Y","Abnorml",125000
"389",20,"RL","0","CollgCr","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1479,0,1479,2,"Gd",6,"0","2",2,"Y","Normal",191000
"390",60,"RL","0","NridgHt","1Fam",10,"PConc","1","3","Gas","Ex","Y","SBrkr",1742,590,2332,2,"Ex",9,"1","1",3,"Y","Partial",426000
"391",50,"RL","1","Edwards","1Fam",5,"BrkTil","4","5","Gas","Ex","Y","SBrkr",961,406,1367,1,"TA",7,"0","3",1,"Y","Normal",119000
"392",60,"RL","0","Mitchel","1Fam",6,"PConc","1","1","Gas","Ex","Y","SBrkr",804,1157,1961,2,"Gd",7,"1","1",2,"Y","Normal",215000
"393",20,"RL","0","NAmes","1Fam",5,"Slab","0","0","Gas","TA","Y","SBrkr",882,0,882,1,"TA",5,"0","2",1,"Y","Normal",106500
"394",30,"RL","0","BrkSide","1Fam",4,"CBlock","4","5","Gas","TA","Y","0",788,0,788,1,"TA",4,"1","0",0,"Y","Abnorml",100000
"395",50,"RL","0","OldTown","1Fam",5,"CBlock","4","6","Gas","Gd","Y","0",735,299,1034,1,"TA",5,"0","3",1,"Y","Normal",109000
"396",20,"RL","0","Edwards","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",1144,0,1144,1,"TA",6,"0","3",1,"Y","Normal",129000
"397",20,"RL","0","CollgCr","1Fam",5,"CBlock","4","5","Gas","TA","Y","SBrkr",894,0,894,1,"TA",6,"0","2",2,"Y","Normal",123000
"398",60,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","TA","Y","SBrkr",876,936,1812,2,"TA",8,"1","2",1,"Y","Normal",169500
"399",30,"RM","0","IDOTRR","1Fam",5,"BrkTil","2","6","Gas","Gd","Y","0",1077,0,1077,1,"TA",6,"0","3",1,"N","Abnorml",67000
"400",60,"FV","0","Somerst","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1112,438,1550,2,"Gd",7,"0","1",2,"Y","Normal",241000
"401",120,"RL","0","Veenker","TwnhsE",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1288,0,1288,1,"Ex",4,"1","1",2,"Y","Normal",245500
"402",20,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1310,0,1310,2,"Gd",6,"1","1",2,"Y","Partial",164990
"403",30,"RL","0","Sawyer","1Fam",5,"PConc","4","6","Gas","Ex","Y","SBrkr",672,0,672,1,"TA",4,"0","3",1,"N","Normal",108000
"404",60,"RL","0","NoRidge","1Fam",8,"PConc","3","6","Gas","Gd","Y","SBrkr",1165,1098,2263,2,"Gd",10,"1","1",2,"Y","Abnorml",258000
"405",60,"RL","0","Gilbert","1Fam",6,"PConc","3","6","Gas","Gd","Y","SBrkr",806,766,1572,2,"TA",7,"1","1",2,"Y","Normal",168000
"406",20,"RL","0","Sawyer","1Fam",4,"CBlock","4","2","Gas","Ex","Y","SBrkr",1620,0,1620,2,"TA",8,"1","3",2,"Y","Normal",150000
"407",50,"RL","0","SWISU","1Fam",6,"BrkTil","4","6","Gas","Ex","Y","0",1166,0,1639,1,"TA",6,"0","3",1,"Y","Normal",115000
"408",70,"RL","0","Crawfor","1Fam",6,"BrkTil","3","6","Gas","Ex","Y","SBrkr",840,840,1680,2,"TA",8,"0","3",1,"Y","Normal",177000
"409",60,"RL","0","NridgHt","1Fam",7,"PConc","1","6","Gas","Ex","Y","SBrkr",1071,1101,2172,2,"Gd",9,"1","2",3,"Y","Partial",280000
"410",60,"FV","0","Somerst","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1050,1028,2078,2,"Ex",8,"1","1",3,"Y","Partial",339750
"411",20,"RL","0","Edwards","1Fam",5,"CBlock","4","6","Gas","TA","Y","0",1276,0,1276,1,"TA",5,"0","3",1,"Y","Abnorml",60000
"412",190,"RL","0","Gilbert","2fmCon",5,"CBlock","4","5","Gas","TA","N","SBrkr",1056,0,1056,1,"TA",5,"0","1",2,"Y","Normal",145000
"413",20,"FV","0","Somerst","1Fam",7,"PConc","1","3","Gas","Ex","Y","SBrkr",1478,0,1478,2,"Gd",7,"1","1",2,"Y","Partial",222000
"414",30,"RM","1","OldTown","1Fam",5,"CBlock","4","6","Gas","Gd","Y","0",1028,0,1028,1,"TA",5,"1","3",2,"Y","Normal",115000
"415",60,"RL","0","SawyerW","1Fam",7,"PConc","3","2","Gas","Ex","Y","SBrkr",1080,1017,2097,2,"Gd",9,"1","3",3,"Y","Normal",228000
"416",20,"RL","0","Gilbert","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1340,0,1340,2,"Gd",6,"0","1",2,"Y","Partial",181134
"417",60,"RL","0","Sawyer","1Fam",6,"CBlock","4","1","Gas","TA","Y","SBrkr",672,728,1400,1,"TA",6,"1","1",2,"Y","Normal",149500
"418",70,"RL","0","Crawfor","1Fam",6,"BrkTil","3","2","Gas","TA","N","0",1370,1254,2624,2,"TA",10,"1","3",3,"N","Normal",239000
"419",50,"RL","0","Edwards","1Fam",5,"BrkTil","4","1","Gas","Fa","N","0",756,378,1134,1,"TA",7,"0","3",1,"N","AdjLand",126000
"420",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","Ex","Y","SBrkr",1056,0,1056,1,"TA",6,"1","3",1,"Y","Normal",142000
"421",90,"RM","0","Mitchel","Duplex",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1344,0,1344,2,"TA",8,"0","1",4,"Y","Alloca",206300
"422",20,"RL","0","NWAmes","1Fam",6,"CBlock","3","1","Gas","Gd","Y","SBrkr",1602,0,1602,2,"Gd",8,"1","1",2,"Y","Normal",215000
"423",20,"RL","0","Mitchel","1Fam",5,"CBlock","4","6","Gas","Ex","Y","0",988,0,988,1,"TA",4,"0","2",2,"N","Normal",113000
"424",60,"RL","0","NoRidge","1Fam",8,"PConc","3","3","Gas","Gd","Y","SBrkr",1470,1160,2630,2,"Gd",8,"1","1",3,"Y","Normal",315000
"425",20,"RL","0","NAmes","1Fam",6,"CBlock","3","4","Gas","Gd","Y","0",1196,0,1196,1,"TA",6,"1","2",1,"Y","Normal",139000
"426",60,"RM","1","OldTown","1Fam",7,"CBlock","4","6","Gas","Gd","Y","SBrkr",707,682,1389,1,"TA",6,"1","3",1,"N","Normal",135000
"427",80,"RL","0","SawyerW","1Fam",7,"PConc","3","3","Gas","Gd","Y","SBrkr",1644,0,1644,2,"Gd",5,"1","1",2,"Y","Normal",275000
"428",20,"RL","0","NAmes","1Fam",4,"CBlock","4","5","Gas","Ex","Y","SBrkr",907,0,907,1,"TA",5,"0","3",1,"Y","Normal",109008
"429",20,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1208,0,1208,2,"Gd",6,"0","2",2,"Y","Partial",195400
"430",20,"RL","0","Timber","1Fam",6,"CBlock","3","3","Gas","TA","Y","SBrkr",1412,0,1412,2,"Gd",6,"1","3",2,"Y","Normal",175000
"431",160,"RM","0","BrDale","Twnhs",6,"CBlock","4","1","Gas","TA","Y","SBrkr",483,504,987,1,"TA",4,"0","3",1,"Y","Abnorml",85400
"432",50,"RM","0","OldTown","1Fam",6,"BrkTil","4","6","Gas","Gd","Y","SBrkr",1088,110,1198,1,"TA",7,"0","0",0,"N","Abnorml",79900
"433",160,"RM","0","BrDale","TwnhsE",5,"CBlock","4","1","Gas","Ex","Y","SBrkr",765,600,1365,1,"TA",6,"0","3",2,"Y","Normal",122500
"434",60,"RL","0","Gilbert","1Fam",6,"PConc","3","6","Gas","Ex","Y","SBrkr",926,678,1604,2,"TA",7,"1","1",2,"Y","Normal",181000
"435",180,"RM","0","MeadowV","Twnhs",4,"CBlock","3","1","Gas","Gd","Y","SBrkr",630,0,630,1,"TA",3,"0","0",0,"Y","Normal",81000
"436",60,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",827,834,1661,2,"Gd",6,"1","2",2,"Y","Normal",212000
"437",50,"RM","0","OldTown","1Fam",6,"BrkTil","2","6","Gas","TA","Y","0",734,384,1118,1,"TA",6,"0","3",2,"Y","Normal",116000
"438",45,"RM","0","BrkSide","1Fam",6,"PConc","4","6","Gas","Gd","Y","SBrkr",904,0,904,1,"TA",4,"0","3",1,"Y","Normal",119000
"439",30,"RL","0","Crawfor","1Fam",5,"PConc","4","4","Gas","TA","N","SBrkr",694,0,694,1,"Gd",4,"1","3",1,"N","Normal",90350
"440",50,"RL","1","Edwards","1Fam",6,"BrkTil","4","6","Gas","Gd","Y","SBrkr",684,512,1196,1,"Gd",7,"0","3",2,"Y","Normal",110000
"441",20,"RL","0","NridgHt","1Fam",10,"PConc","1","3","Gas","Ex","Y","SBrkr",2402,0,2402,2,"Ex",10,"1","1",3,"Y","Normal",555000
"442",90,"RL","0","Edwards","Duplex",4,"CBlock","4","1","Gas","TA","N","0",1440,0,1440,2,"Fa",8,"0","0",0,"Y","Normal",118000
"443",50,"RM","0","BrkSide","1Fam",5,"PConc","4","6","Gas","TA","Y","SBrkr",1128,445,1573,2,"TA",8,"1","3",2,"N","Normal",162900
"444",120,"RL","0","Blmngtn","TwnhsE",7,"PConc","1","6","Gas","Ex","Y","SBrkr",1258,0,1258,2,"Gd",6,"1","1",3,"Y","Partial",172500
"445",60,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",933,975,1908,2,"Gd",8,"1","3",2,"Y","Normal",210000
"446",20,"RL","0","Edwards","1Fam",6,"CBlock","4","6","Gas","Fa","Y","SBrkr",1689,0,1689,1,"TA",7,"1","3",2,"Y","Normal",127500
"447",20,"RL","0","NAmes","1Fam",6,"CBlock","4","1","Gas","Ex","Y","SBrkr",1888,0,1888,2,"Gd",6,"1","1",2,"Y","Normal",190000
"448",60,"RL","0","Gilbert","1Fam",7,"PConc","3","6","Gas","Gd","Y","SBrkr",956,930,1886,2,"Gd",10,"1","1",2,"Y","Normal",199900
"449",50,"RM","0","IDOTRR","1Fam",6,"BrkTil","4","6","Gas","TA","Y","SBrkr",780,596,1376,2,"TA",7,"1","3",1,"N","Normal",119500
"450",50,"RM","0","OldTown","1Fam",3,"CBlock","4","1","Gas","Ex","Y","SBrkr",679,504,1183,1,"TA",6,"0","3",1,"Y","Normal",120000
"451",30,"RM","0","OldTown","1Fam",6,"BrkTil","4","6","Gas","Ex","Y","0",813,0,813,1,"Gd",5,"0","3",1,"N","Normal",110000
"452",20,"RL","0","ClearCr","1Fam",7,"CBlock","3","1","Gas","TA","Y","SBrkr",1533,0,1533,2,"Gd",5,"1","3",2,"Y","Normal",280000
"453",60,"RL","0","Timber","1Fam",6,"PConc","1","1","Gas","Ex","Y","SBrkr",888,868,1756,2,"TA",7,"0","1",2,"Y","Normal",204000
"454",60,"FV","0","Somerst","1Fam",8,"PConc","3","6","Gas","Ex","Y","SBrkr",786,804,1590,2,"Gd",6,"0","2",2,"Y","Normal",210000
"455",90,"RL","0","Mitchel","Duplex",5,"CBlock","4","1","Gas","TA","Y","SBrkr",1728,0,1728,2,"TA",8,"0","3",2,"Y","Family",188000
"456",20,"RL","0","NWAmes","1Fam",7,"CBlock","4","1","Gas","Fa","Y","SBrkr",1242,0,1242,1,"TA",6,"1","3",2,"Y","Normal",175500
"457",70,"RM","1","OldTown","1Fam",5,"BrkTil","4","6","Gas","Fa","N","SBrkr",624,720,1344,1,"TA",7,"0","3",3,"Y","Abnorml",98000
"458",20,"RL","0","ClearCr","1Fam",4,"CBlock","3","2","Gas","Ex","Y","SBrkr",1663,0,1663,1,"Gd",6,"1","1",2,"Y","Normal",256000
"459",70,"RM","1","OldTown","1Fam",8,"PConc","4","6","Gas","Fa","Y","SBrkr",833,833,1666,1,"Gd",7,"1","3",1,"Y","Normal",161000
"460",50,"RL","0","BrkSide","1Fam",5,"CBlock","4","4","Gas","TA","Y","SBrkr",979,224,1203,1,"Gd",5,"1","3",1,"Y","Normal",110000
"461",60,"FV","0","Somerst","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",832,1103,1935,2,"TA",8,"0","1",2,"Y","Partial",263435
"462",70,"RL","0","SWISU","1Fam",7,"PConc","3","1","Gas","Ex","Y","SBrkr",575,560,1135,1,"Gd",6,"0","2",2,"Y","Normal",155000
"463",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","5","Gas","Gd","Y","SBrkr",864,0,864,1,"TA",5,"1","3",1,"Y","Normal",62383
"464",70,"RL","0","Crawfor","1Fam",6,"CBlock","4","4","Gas","Fa","Y","0",849,811,1660,1,"TA",6,"1","3",1,"Y","Normal",188700
"465",20,"RL","0","CollgCr","1Fam",5,"CBlock","3","5","Gas","TA","Y","SBrkr",1040,0,1040,2,"TA",5,"0","0",0,"Y","Normal",124000
"466",120,"RM","0","Blmngtn","TwnhsE",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1414,0,1414,2,"Gd",6,"1","1",2,"Y","Normal",178740
"467",20,"RL","0","NAmes","1Fam",7,"CBlock","4","3","Gas","TA","Y","SBrkr",1277,0,1277,1,"TA",5,"1","3",2,"Y","Normal",167000
"468",70,"RL","0","NAmes","1Fam",5,"CBlock","4","4","Gas","Ex","Y","SBrkr",888,756,1644,1,"Gd",7,"1","3",1,"Y","Normal",146500
"469",20,"RL","0","NridgHt","1Fam",8,"PConc","3","6","Gas","Ex","Y","SBrkr",1634,0,1634,2,"Gd",7,"1","2",3,"Y","Normal",250000
"470",60,"RL","0","SawyerW","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",832,878,1710,2,"Gd",7,"0","2",2,"Y","Normal",187000
"471",120,"RL","0","StoneBr","TwnhsE",8,"PConc","3","3","Gas","TA","Y","SBrkr",1502,0,1502,1,"Gd",4,"0","2",2,"Y","Normal",212000
"472",60,"RL","0","NWAmes","1Fam",7,"CBlock","3","6","Gas","TA","Y","SBrkr",1161,808,1969,2,"TA",8,"1","2",2,"Y","Normal",190000
"473",180,"RM","0","Edwards","TwnhsE",6,"PConc","3","3","Gas","Ex","Y","SBrkr",1072,0,1072,1,"TA",5,"0","2",2,"Y","Normal",148000
"474",20,"RL","0","NridgHt","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1976,0,1976,2,"Gd",7,"1","2",3,"Y","Partial",440000
"475",120,"RL","0","StoneBr","TwnhsE",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1652,0,1652,2,"Ex",6,"0","2",2,"Y","Normal",251000
"476",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","3","Gas","TA","Y","SBrkr",970,0,970,1,"TA",5,"0","3",2,"Y","Normal",132500
"477",20,"RL","0","CollgCr","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",1493,0,1493,2,"Gd",7,"1","1",2,"Y","Normal",208900
"478",60,"RL","0","NridgHt","1Fam",9,"PConc","3","6","Gas","Ex","Y","SBrkr",2069,574,2643,2,"Ex",9,"1","1",3,"Y","Normal",380000
"479",20,"RL","0","CollgCr","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1718,0,1718,2,"Gd",7,"1","2",3,"Y","Normal",297000
"480",30,"RM","0","OldTown","1Fam",4,"BrkTil","2","5","Gas","TA","Y","SBrkr",1131,0,1131,1,"TA",7,"0","3",2,"Y","Alloca",89471
"481",20,"RL","0","NridgHt","1Fam",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1850,0,1850,2,"Gd",8,"1","1",3,"Y","Normal",326000
"482",20,"RL","0","NridgHt","1Fam",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1792,0,1792,2,"Ex",6,"1","1",3,"Y","Normal",374000
"483",70,"RM","2","OldTown","1Fam",7,"PConc","4","1","Gas","Ex","Y","SBrkr",916,910,1826,1,"Ex",7,"1","3",1,"Y","Normal",155000
"484",120,"RM","0","Mitchel","Twnhs",6,"PConc","1","3","Gas","Ex","Y","SBrkr",1216,0,1216,2,"TA",5,"0","3",2,"Y","Normal",164000
"485",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","1","Gas","Gd","Y","SBrkr",999,0,999,1,"Gd",6,"0","3",1,"Y","Normal",132500
"486",20,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","Gd","Y","SBrkr",1113,0,1113,1,"Gd",5,"1","3",1,"Y","Normal",147000
"487",20,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","TA","Y","SBrkr",1073,0,1073,1,"TA",6,"0","2",2,"Y","Normal",156000
"488",20,"RL","0","NWAmes","1Fam",5,"CBlock","3","1","Gas","Gd","Y","SBrkr",1484,0,1484,2,"TA",7,"1","3",2,"Y","Normal",175000
"489",190,"RL","0","OldTown","2fmCon",5,"CBlock","4","2","Gas","TA","N","0",1766,648,2414,2,"TA",10,"1","3",2,"N","Normal",160000
"490",180,"RM","0","MeadowV","Twnhs",4,"CBlock","3","3","Gas","TA","Y","SBrkr",630,0,630,1,"Gd",3,"0","3",1,"Y","Normal",86000
"491",160,"RM","0","MeadowV","TwnhsE",5,"PConc","3","6","Gas","TA","Y","SBrkr",616,688,1304,1,"TA",4,"1","1",1,"Y","Normal",115000
"492",50,"RL","0","NAmes","1Fam",6,"CBlock","4","2","Gas","TA","Y","0",958,620,1578,1,"Fa",5,"1","3",1,"Y","Normal",133000
"493",60,"RL","0","Gilbert","1Fam",6,"PConc","3","6","Gas","Gd","Y","SBrkr",728,728,1456,2,"TA",8,"0","2",2,"Y","Partial",172785
"494",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","TA","Y","0",1269,0,1269,1,"TA",6,"1","3",1,"Y","Normal",155000
"495",30,"RM","0","OldTown","1Fam",5,"BrkTil","2","6","Gas","Gd","Y","0",886,0,886,1,"TA",4,"0","3",1,"Y","Normal",91300
"496",30,"C (all)","0","IDOTRR","1Fam",4,"CBlock","4","5","Gas","TA","N","0",720,0,720,1,"TA",4,"0","0",0,"N","Abnorml",34900
"497",20,"RL","0","NoRidge","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",3228,0,3228,3,"Gd",10,"1","2",2,"Y","Normal",430000
"498",50,"RL","2","BrkSide","1Fam",7,"PConc","4","5","Gas","Ex","Y","SBrkr",1133,687,1820,2,"TA",8,"0","3",1,"N","Normal",184000
"499",20,"RL","0","Sawyer","1Fam",5,"PConc","4","1","Gas","Ex","Y","SBrkr",899,0,899,1,"Gd",5,"0","1",1,"Y","Normal",130000
"500",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","Fa","Y","SBrkr",912,0,912,1,"TA",5,"0","1",1,"Y","Normal",120000
"501",160,"RM","0","BrDale","Twnhs",6,"CBlock","4","2","Gas","TA","Y","SBrkr",672,546,1218,1,"TA",7,"0","3",1,"Y","Normal",113000
"502",60,"FV","0","Somerst","1Fam",7,"PConc","3","3","Gas","Gd","Y","SBrkr",866,902,1768,2,"Gd",7,"0","2",2,"Y","Normal",226700
"503",20,"RL","0","Edwards","1Fam",5,"CBlock","4","1","Gas","Ex","Y","SBrkr",1214,0,1214,1,"TA",6,"0","3",2,"Y","Normal",140000
"504",20,"RL","0","Crawfor","1Fam",7,"CBlock","4","1","Gas","TA","Y","SBrkr",1801,0,1801,2,"TA",6,"1","1",2,"Y","Normal",289000
"505",160,"RL","0","NPkVill","TwnhsE",6,"CBlock","4","1","Gas","TA","Y","SBrkr",855,467,1322,2,"TA",6,"1","3",2,"Y","Normal",147000
"506",90,"RM","1","OldTown","Duplex",5,"CBlock","4","6","Gas","Gd","Y","SBrkr",960,1000,1960,2,"TA",10,"0","3",2,"N","Normal",124500
"507",60,"RL","0","SawyerW","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1065,846,1911,2,"Gd",8,"1","2",2,"Y","Normal",215000
"508",20,"FV","0","Somerst","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",1218,0,1218,2,"Gd",4,"0","1",2,"Y","Partial",208300
"509",70,"RM","0","OldTown","1Fam",7,"BrkTil","4","5","Gas","Ex","Y","SBrkr",689,689,1378,2,"Gd",7,"1","3",2,"N","Normal",161000
"510",20,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","Ex","Y","SBrkr",1041,0,1041,1,"TA",6,"0","2",1,"Y","Normal",124500
"511",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","Ex","Y","SBrkr",1363,0,1363,1,"TA",6,"1","3",1,"Y","Normal",164900
"512",120,"RL","0","NridgHt","TwnhsE",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1368,0,1368,2,"Gd",6,"1","2",2,"Y","Partial",202665
"513",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",864,0,864,1,"TA",5,"0","3",2,"Y","Normal",129900
"514",20,"RL","0","Mitchel","1Fam",6,"PConc","4","1","Gas","TA","Y","SBrkr",1080,0,1080,1,"TA",5,"0","3",2,"Y","Normal",134000
"515",45,"RL","0","Crawfor","1Fam",5,"BrkTil","4","6","NonGas","Fa","N","SBrkr",789,0,789,1,"TA",5,"0","3",1,"Y","Normal",96500
"516",20,"RL","0","NridgHt","1Fam",10,"CBlock","1","3","Gas","Ex","Y","SBrkr",2020,0,2020,2,"Ex",9,"1","1",3,"Y","Partial",402861
"517",80,"RL","0","NWAmes","1Fam",6,"CBlock","4","6","Gas","TA","Y","SBrkr",1378,741,2119,2,"TA",7,"1","2",2,"Y","Abnorml",158000
"518",60,"RL","0","NoRidge","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1277,1067,2344,2,"Gd",7,"1","2",3,"Y","Normal",265000
"519",60,"RL","0","CollgCr","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",882,914,1796,2,"TA",7,"0","2",2,"Y","Normal",211000
"520",70,"RL","0","Crawfor","1Fam",7,"BrkTil","3","6","Gas","Ex","Y","SBrkr",1276,804,2080,1,"Gd",9,"1","3",1,"Y","Normal",234000
"521",190,"RL","1","OldTown","2fmCon",4,"BrkTil","0","0","Gas","TA","N","0",694,600,1294,2,"TA",7,"0","0",0,"N","Normal",106250
"522",20,"RL","0","NAmes","1Fam",6,"CBlock","4","5","Gas","Ex","Y","0",1244,0,1244,1,"TA",6,"1","3",1,"Y","Normal",150000
"523",50,"RM","0","BrkSide","1Fam",6,"CBlock","4","1","Gas","Ex","Y","SBrkr",1004,660,1664,2,"TA",7,"1","3",2,"Y","Normal",159000
